1/2/19		35637070
1/3/19		91106840
1/4/19		57423650
1/7/19		54571440
1/8/19		40622910
1/9/19		45034370
1/10/19		35661200
1/11/19		26924630
1/14/19		32018540
1/15/19		28449940
1/16/19		30483120
1/17/19		29616190
1/18/19		33259460
1/22/19		30273990
1/23/19		23046560
1/24/19		25418110
1/25/19		33508960
1/28/19		26147280
1/29/19		39914850
1/30/19		60800480
1/31/19		40613260
2/1/19		32644590
2/4/19		31384720
2/5/19		36054570
2/6/19		28204640
2/7/19		31644240
2/8/19		23793830
2/11/19		20940020
2/12/19		22224400
2/13/19		22389660
2/14/19		21785180
2/15/19		24603320
2/19/19		18958570
2/20/19		25323890
2/21/19		17154540
2/22/19		18890250
2/25/19		21846400
2/26/19		16991610
2/27/19		27817640
2/28/19		27953810
3/1/19		25737560
3/4/19		27413060
3/5/19		19238480
3/6/19		20755140
3/7/19		24755470
3/8/19		23985960
3/11/19		31123000
3/12/19		32416800
3/13/19		30929740
3/14/19		23527660
3/15/19		39017490
3/18/19		26148590
3/19/19		31440300
3/20/19		31003380
3/21/19		50943120
3/22/19		42287640
3/25/19		43751810
3/26/19		49696100
3/27/19		29771210
3/28/19		20710390
3/29/19		23524830
4/1/19		27308200
4/2/19		22727370
4/3/19		23243160
4/4/19		19090050
4/5/19		18473070
4/8/19		25829880
4/9/19		35738280
4/10/19		21654750
4/11/19		20543190
4/12/19		27738580
4/15/19		17524150
4/16/19		25668330
4/17/19		28865310
4/18/19		24185530
4/22/19		17841920
4/23/19		23286380
4/24/19		17427570
4/25/19		18463850
4/26/19		18612770
4/29/19		22010360
4/30/19		45751160
5/1/19		64827330
5/2/19		31996320
5/3/19		20892380
5/6/19		32443110
5/7/19		38763700
5/8/19		26339500
5/9/19		34908610
5/10/19		41208710
5/13/19		57430620
5/14/19		36529680
5/15/19		26544720
5/16/19		33031360
5/17/19		32879090
5/20/19		38612290
5/21/19		28364850
5/22/19		29748560
5/23/19		36529740
5/24/19		23714690
5/28/19		27948160
5/29/19		28481170
5/30/19		21218410
5/31/19		27043580
6/3/19		40396070
6/4/19		30967960
6/5/19		29773430
6/6/19		22526310
6/7/19		30684390
6/10/19		26220850
6/11/19		26932880
6/12/19		18253190
6/13/19		21674630
6/14/19		18761470
6/17/19		14669140
6/18/19		26551000
6/19/19		21124240
6/20/19		21513990
6/21/19		47800590
6/24/19		18220420
6/25/19		21070330
6/26/19		26067510
6/27/19		20899720
6/28/19		31110640
7/1/19		27316740
7/2/19		16935220
7/3/19		11362050
7/5/19		17265520
7/8/19		25338630
7/9/19		20578020
7/10/19		17897140
7/11/19		20191840
7/12/19		17595210
7/15/19		16947420
7/16/19		16866820
7/17/19		14107450
7/18/19		18582160
7/19/19		20929310
7/22/19		22277930
7/23/19		18355210
7/24/19		14991570
7/25/19		13909560
7/26/19		17618870
7/29/19		21673390
7/30/19		33935720
7/31/19		69281360
8/1/19		54017920
8/2/19		40862120
8/5/19		52392970
8/6/19		35824790
8/7/19		33364400
8/8/19		27009520
8/9/19		24619750
8/12/19		22481890
8/13/19		47539790
8/14/19		36547440
8/15/19		27883360
8/16/19		28813620
8/19/19		24431920
8/20/19		26919530
8/21/19		21564750
8/22/19		22267820
8/23/19		46882840
8/26/19		26066130
8/27/19		25897340
8/28/19		15957630
8/29/19		21007650
8/30/19		21162560
