1/2/19						1593400
1/3/19						2098000
1/4/19						2301100
1/7/19						2372300
1/8/19						1770700
1/9/19						1349900
1/10/19						1329900
1/11/19						1543200
1/14/19						1424500
1/15/19						1875900
1/16/19						1914000
1/17/19						1244800
1/18/19						2244600
1/22/19						1981600
1/23/19						1259700
1/24/19						1455700
1/25/19						1163000
1/28/19						1466700
1/29/19						985200
1/30/19						1472600
1/31/19						2011600
2/1/19						1655800
2/4/19						3920400
2/5/19						4114800
2/6/19						2412800
2/7/19						1914900
2/8/19						1088300
2/11/19						924900
2/12/19						1751800
2/13/19						1402100
2/14/19						1055300
2/15/19						1391300
2/19/19						1099000
2/20/19						1204500
2/21/19						1663600
2/22/19						1471800
2/25/19						1310400
2/26/19						1751300
2/27/19						1104600
2/28/19						1371100
3/1/19						1704300
3/4/19						1774500
3/5/19						2004700
3/6/19						1180100
3/7/19						1504300
3/8/19						1184700
3/11/19						1501600
3/12/19						2111000
3/13/19						1294400
3/14/19						1365100
3/15/19						2594300
3/18/19						1222100
3/19/19						1489400
3/20/19						2075400
3/21/19						1407500
3/22/19						1721100
3/25/19						1378800
3/26/19						1537600
3/27/19						1471400
3/28/19						1120100
3/29/19						1544500
4/1/19						1385300
4/2/19						914400
4/3/19						1109600
4/4/19						1051100
4/5/19						1000600
4/8/19						1087500
4/9/19						983400
4/10/19						775500
4/11/19						849900
4/12/19						1215600
4/15/19						1189800
4/16/19						1131100
4/17/19						1518300
4/18/19						1237500
4/22/19						954200
4/23/19						1593400
4/24/19						1169800
4/25/19						1567200
4/26/19						1361400
4/29/19						3618400
4/30/19						6658900
5/1/19						3717000
5/2/19						2254900
5/3/19						2079400
5/6/19						1588700
5/7/19						1830200
5/8/19						1276000
5/9/19						1477800
5/10/19						1582500
5/13/19						2281300
5/14/19						2019600
5/15/19						2965100
5/16/19						1765400
5/17/19						1268100
5/20/19						1530100
5/21/19						1028100
5/22/19						941300
5/23/19						1260700
5/24/19						927700
5/28/19						1047400
5/29/19						1811500
5/30/19						904400
5/31/19						1579100
6/3/19						4844500
6/4/19						3025600
6/5/19						2349400
6/6/19						1451000
6/7/19						2191400
6/10/19						1425500
6/11/19						1675400
6/12/19						1183500
6/13/19						1040700
6/14/19						1229100
6/17/19						988500
6/18/19						1726300
6/19/19						1335700
6/20/19						1200900
6/21/19						2538700
6/24/19						1211800
6/25/19						1582200
6/26/19						1734900
6/27/19						1203900
6/28/19						1683600
7/1/19						1459800
7/2/19						1031500
7/3/19						1007700
7/5/19						1489700
7/8/19						1494400
7/9/19						1473600
7/10/19						1535500
7/11/19						1300200
7/12/19						1093900
7/15/19						1058200
7/16/19						1267600
7/17/19						976900
7/18/19						1273800
7/19/19						1159200
7/22/19						1445700
7/23/19						1032400
7/24/19						1359600
7/25/19						2738100
7/26/19						6060800
7/29/19						2069100
7/30/19						1430800
7/31/19						1998000
8/1/19						1771300
8/2/19						1745500
8/5/19						2392000
8/6/19						1800700
8/7/19						1534300
8/8/19						1505800
8/9/19						1020900
8/12/19						1103200
8/13/19						1421700
8/14/19						1771500
8/15/19						1425300
8/16/19						1245800
8/19/19						1222500
8/20/19						1010300
8/21/19						707600
8/22/19						867600
8/23/19						1812700
8/26/19						1058300
8/27/19						1173000
8/28/19						840500
8/29/19						981800
8/30/19						903200
